Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
AddUser1,100,4885,357,7856,2337.29,0.000%,5.79475,4.83,2.09,853.0
AddUser2,100,6330,670,8436,2213.06,0.000%,3.96857,3.31,1.43,853.0
LogInUser1,100,5545,746,7184,1548.99,0.000%,3.20400,2.65,0.76,848.0
LogInUser2,100,5393,1262,7217,1307.22,0.000%,2.93556,2.43,0.70,848.0
UpdateUser1,100,2256,565,3936,958.72,0.000%,2.87704,2.74,1.62,976.0
UpdateUser2,100,1970,201,3939,1042.05,0.000%,2.88709,2.75,1.62,976.0
GetNextUserInfo(User1),100,8506,6078,14148,2024.94,0.000%,2.43345,1.37,1.06,578.0
User1LikeUser2,56,3382,2923,7191,781.64,0.000%,1.58080,0.68,0.80,442.0
User1DislikeUser2,44,3771,2925,8001,1504.08,0.000%,1.28666,0.58,0.66,460.0
GetNextUserInfo(User2),100,6702,4118,13189,1348.74,0.000%,2.83334,1.60,1.24,578.0
User2DislikeUser1,50,2919,1897,4083,424.88,0.000%,2.00008,0.90,1.02,460.0
User2LikeUser1,50,3287,1977,4033,591.80,0.000%,2.12993,0.92,1.08,441.5
User1MatchList,100,940,95,2034,339.85,0.000%,4.55477,1.94,2.02,435.8
User2MatchList,100,969,55,2045,217.90,0.000%,4.77806,2.03,2.12,435.8
DeleteUser1,100,833,51,1021,277.12,0.000%,5.26316,5.13,2.42,999.0
DeleteUser2,100,536,49,1070,448.15,0.000%,5.50146,5.37,2.53,999.0
Debug Sampler,100,0,0,1,0.26,0.000%,5.82242,6.28,0.00,1103.8
TOTAL,1500,3435,0,14148,2858.98,0.000%,24.98293,18.52,10.02,758.9
